"","Year","Month","Unemployment_Rate_16_19_Years","Unemployment_Rate_20_Years_Over_Men","Unemployment_Rate_20_Years_Over_Women","Unemployment_Rate_25_Years_Over_Bachelor_s_Degree_and_Higher","Unemployment_Rate_25_Years_Over_High_School_Graduates_No_College","Unemployment_Rate_25_Years_Over_Less_than_a_High_School_Diploma","Unemployment_Rate_25_Years_Over_Some_College_or_Associate_Degree","Unemployment_Rate_Asian","Unemployment_Rate_Black_or_African_American","Unemployment_Rate_Hispanic_or_Latino","Unemployment_Rate","Unemployment_Rate_White"
"1","2000","Jan","12.7","3.3","3.7","1.8","3.4","6.4","2.6","5.5","8.2","5.6","4","3.4"
"2","2001","Jan","13.8","3.6","3.6","1.6","3.8","6.7","3","5","8.2","5.8","4.2","3.6"
"3","2002","Jan","16.5","5.2","4.9","2.9","5.3","8.2","4.3","4.1","10","7.8","5.7","5.1"
"4","2003","Jan","17.2","5.6","4.9","3","5.2","8.8","4.7","3","10.5","7.9","5.8","5.2"
"5","2004","Jan","17","5.2","5.1","2.9","4.9","9.1","4.5","3.1","10.4","7.3","5.7","5"
"6","2005","Jan","16.2","4.7","4.7","2.4","4.7","7.7","4.1","3.1","10.6","6","5.3","4.5"
"7","2006","Jan","15.1","4.1","4.3","2.1","4.4","7","3.6","6.1","8.9","5.5","4.7","4.1"
"8","2007","Jan","14.8","4.2","4","2.1","4.3","6.9","3.8","8.3","7.9","5.5","4.6","4.2"
"9","2008","Jan","17.8","4.5","4.3","2.1","4.7","7.7","3.7","6.8","9.1","6.3","5","4.4"
"10","2009","Jan","20.7","7.9","6.5","3.9","8.2","12.4","6.5","6.7","12.7","10.1","7.8","7.1"
"11","2010","Jan","26.1","10.2","7.9","4.9","10.2","15.3","8.6","6.4","16.5","12.9","9.8","8.8"
"12","2011","Jan","25.7","9","7.9","4.3","9.5","14.3","8.1","4.7","15.8","12.3","9.1","8.1"
"13","2012","Jan","23.6","7.7","7.6","4.3","8.5","13","7.1","4","13.6","10.7","8.3","7.4"
"14","2013","Jan","23.7","7.5","7.2","3.8","8.1","12","6.9","3.6","13.7","9.7","8","7.1"
"15","2014","Jan","20.4","6.2","5.8","3.3","6.5","9.4","5.9","3.7","12.1","8.3","6.6","5.7"
"16","2015","Jan","18.5","5.3","5","2.8","5.4","8.3","5.2","3","10.3","6.7","5.7","4.9"
"17","2016","Jan","15.7","4.4","4.5","2.5","5.2","7.1","4.2","3.1","8.7","5.8","4.9","4.2"
"18","2017","Jan","14.6","4.3","4.4","2.5","5.2","7.4","3.8","3","7.5","5.8","4.7","4.2"
"19","2018","Jan","13.7","3.8","3.6","2.1","4.4","5.4","3.4","5.8","7.5","5","4.1","3.5"
"20","2019","Jan","12.9","3.7","3.6","2.4","3.7","5.7","3.4","4.5","6.8","4.8","4","3.5"
"21","2020","Jan","12.2","3.3","3.2","2","3.8","5.5","2.8","4.3","6","4.3","3.6","3.1"
"22","2000","Feb","13.8","3.5","3.6","1.6","3.4","6","3","3","8.1","5.7","4.1","3.6"
"23","2001","Feb","13.7","3.7","3.7","1.6","3.7","7.5","2.8","2.6","7.7","6.1","4.2","3.7"
"24","2002","Feb","16","5.2","5","2.9","5.3","8.3","4.2","2.9","9.9","7","5.7","5"
"25","2003","Feb","17.2","5.5","5.1","3","5.4","8.9","4.7","6.7","10.7","7.7","5.9","5.1"
"26","2004","Feb","16.5","5.1","4.9","2.9","5","8.6","4.3","8.2","9.7","7.4","5.6","4.9"
"27","2005","Feb","17.5","4.8","4.7","2.4","4.9","7.8","4.2","6.7","10.9","6.3","5.4","4.6"
"28","2006","Feb","15.3","4.2","4.3","2.2","4.4","7.1","3.6","6.2","9.5","5.4","4.8","4.1"
"29","2007","Feb","14.9","4.2","3.8","1.9","4.3","7.3","3.6","6","8","5.1","4.5","4.1"
"30","2008","Feb","16.6","4.4","4.2","2","4.7","7.4","3.8","5.9","8.4","6.2","4.9","4.4"
"31","2009","Feb","22.3","8.5","6.8","4.1","8.5","13.2","7.3","4","13.7","11.3","8.3","7.6"
"32","2010","Feb","25.6","10.3","8","4.9","10.7","15.8","8.1","3.8","16.1","12.7","9.8","8.9"
"33","2011","Feb","24.1","8.9","7.9","4.3","9.7","14","7.9","3.4","15.5","11.8","9","8.1"
"34","2012","Feb","23.8","7.7","7.6","4.2","8.3","13.1","7.2","2.9","14","10.9","8.3","7.4"
"35","2013","Feb","25.2","7","7","3.9","7.9","11.3","6.5","3.1","13.8","9.7","7.7","6.8"
"36","2014","Feb","21.4","6.3","5.9","3.4","6.4","9.8","6","2.5","11.8","8.2","6.7","5.8"
"37","2015","Feb","16.9","5.2","4.9","2.7","5.4","8.2","5","6.5","10.1","6.8","5.5","4.7"
"38","2016","Feb","15.2","4.5","4.5","2.5","5.2","7","4.2","4.3","8.5","5.4","4.9","4.3"
"39","2017","Feb","14.4","4.3","4.2","2.4","4.9","7.7","4","3.9","7.9","5.5","4.6","4"
"40","2018","Feb","14","3.7","3.8","2.2","4.4","5.7","3.5","3.5","6.7","4.9","4.1","3.7"
"41","2019","Feb","13.3","3.5","3.4","2.2","3.7","5.3","3.1","3","6.9","4.3","3.8","3.3"
"42","2020","Feb","11","3.3","3.1","1.9","3.6","5.7","3","3.6","5.8","4.4","3.5","3.1"
"43","2000","Mar","13.3","3.2","3.7","1.7","3.3","6.6","2.8","6.5","7.4","6.1","4","3.5"
"44","2001","Mar","13.8","3.8","3.6","2","3.8","6.8","2.7","7.6","8.3","6.2","4.3","3.7"
"45","2002","Mar","16.6","5.2","5","2.8","5.4","8.1","4.3","7.3","10.5","7.5","5.7","5"
"46","2003","Mar","17.8","5.4","5.1","3.1","5.5","8.6","4.8","6.4","10.3","7.8","5.9","5.1"
"47","2004","Mar","16.8","5.2","5.3","2.9","5.3","8.8","4.7","5.1","10.3","7.6","5.8","5.1"
"48","2005","Mar","17.1","4.6","4.6","2.4","4.7","7.8","3.9","5.5","10.5","5.8","5.2","4.5"
"49","2006","Mar","16.1","4.1","4.2","2.2","4.1","6.9","3.7","3.2","9.5","5.2","4.7","4"
"50","2007","Mar","14.9","4","3.8","1.8","4","6.9","3.6","3.9","8.4","5","4.4","3.8"
"51","2008","Mar","16.1","4.6","4.5","2.1","5.1","8.4","3.9","3.3","9.2","6.9","5.1","4.5"
"52","2009","Mar","22.2","9","7.1","4.3","9.2","14","7.5","3.1","13.7","11.7","8.7","8"
"53","2010","Mar","26.2","10.2","8.1","4.9","11","14.9","8.4","3.1","16.8","12.9","9.9","8.9"
"54","2011","Mar","24.4","8.8","7.8","4.4","9.7","14.1","7.5","4.1","15.8","11.6","9","8"
"55","2012","Mar","24.8","7.7","7.4","4.1","8.1","12.8","7.5","6","14","10.6","8.2","7.3"
"56","2013","Mar","24","6.9","6.9","3.8","7.7","11.1","6.3","4.7","13","9.3","7.5","6.7"
"57","2014","Mar","20.8","6.1","6.2","3.4","6.3","9.4","6","4.2","12.1","7.9","6.7","5.8"
"58","2015","Mar","17.5","5.1","4.9","2.4","5.3","8.6","4.8","3.9","9.9","6.8","5.4","4.8"
"59","2016","Mar","16","4.5","4.6","2.6","5.3","7.3","4.1","3.5","8.9","5.5","5","4.3"
"60","2017","Mar","13.7","4.2","3.9","2.4","4.9","6.6","3.7","3.5","7.9","5","4.4","3.9"
