,,,,,,,,,,,,
"U.S. BILLIONAIRES WEALTH GROWTH, OCTOBER 13, 2020",,,,,,,,,,,,
,,,,,,,,,,,,
First Name,"Net Worth Feb. 8, 2019 
 ($ Millions)","Net Worth Mar. 18, 2020                  ($ Millions)","October 13, 2020 Real Time Worth                            ($ Millions)","Wealth Growth from Mar. 18, 2020 to Oct. 13, 2020                             ($ Millions)","% Wealth Growth from Mar. 18, 2020 to Oct. 13, 2020           ","Wealth Growth from Feb. 8, 2019 to Oct. 13, 2020                        ($ Millions)","% Wealth Growth from Feb. 8, 2019 to Oct. 13, 2020",Source,Industry,State,Gender,Age
Bill Haslam,"$1,800","$1,600","$1,826",$226,14.1%,$26,1.5%,gas stations,Fashion & Retail,Tennessee,M,62
Roger Penske,"$1,500","$1,100","$1,799",$699,63.5%,$299,19.9%,cars,Automotive,Michigan,M,83
Nicholas Pritzker,"$2,000","$1,900","$1,796",-$104,-5.5%,-$204,-10.2%,"hotels, investments",Service,California,M,76
Herb Chambers,"$1,400","$1,600","$1,795",$195,12.2%,$395,28.2%,car dealerships,Automotive,Massachusetts,M,78
David Booth,"$1,700","$1,400","$1,791",$391,27.9%,$91,5.4%,mutual funds,Finance & Investments,Texas,M,74
Brian Roberts,"$1,800","$1,700","$1,788",$88,5.2%,-$12,-0.7%,Comcast,Service,Pennsylvania,M,61
Henry Swieca,"$1,700","$1,800","$1,780",-$20,-1.1%,$80,4.7%,hedge funds,Finance & Investments,New York,M,63
Stephen Feinberg,"$1,500","$1,500","$1,777",$277,18.4%,$277,18.4%,private equity,Finance & Investments,New York,M,60
Marc Lasry,"$1,800","$1,800","$1,776",-$24,-1.3%,-$24,-1.3%,hedge funds,Finance & Investments,New York,M,59
Todd Wagner,"$1,800","$1,800","$1,775",-$25,-1.4%,-$25,-1.4%,online media,Media & Entertainment,Texas,M,60
Craig McCaw,"$1,800","$1,800","$1,769",-$31,-1.7%,-$31,-1.7%,telecom,Telecom,Washington,M,71
Evgeny (Eugene) Shvidler,"$1,500","$1,600","$1,763",$163,10.2%,$263,17.5%,"oil & gas, investments",Energy,,M,56
Susan Alfond,"$1,600","$1,400","$1,763",$363,25.9%,$163,10.2%,shoes,Fashion & Retail,Maine,F,75
James France,"$1,800","$1,800","$1,760",-$40,-2.2%,-$40,-2.2%,"Nascar, racing",Sports,Florida,M,75
Bill Alfond,"$1,600","$1,400","$1,758",$358,25.6%,$158,9.9%,shoes,Fashion & Retail,Massachusetts,M,72
Ted Alfond,"$1,600","$1,400","$1,758",$358,25.6%,$158,9.9%,shoes,Fashion & Retail,Massachusetts,M,76
Nelson Peltz,"$1,600","$1,600","$1,755",$155,9.7%,$155,9.7%,investments,Finance & Investments,New York,M,78
Charles Munger,"$1,600","$1,600","$1,752",$152,9.5%,$152,9.5%,Berkshire Hathaway,Finance & Investments,California,M,96
Jeffrey Talpins,"$1,700","$1,700","$1,725",$25,1.5%,$25,1.5%,hedge fund,Finance & Investments,New York,M,45
Christopher Goldsbury,"$1,600","$1,700","$1,719",$19,1.1%,$119,7.4%,salsa,Food & Beverage,Texas,M,77
Hamilton James,"$1,500","$1,400","$1,707",$307,22.0%,$207,13.8%,investments,Finance & Investments,New York,M,69
Leslie Alexander,"$2,000","$1,700","$1,704",$4,0.2%,-$296,-14.8%,sports team,Sports,Texas,M,77
Gary Michelson,"$1,700","$1,700","$1,700",$0,0.0%,$0,0.0%,medical patents,Healthcare,California,M,71
Jimmy John Liautaud,"$1,700","$1,700","$1,700",$0,0.0%,$0,0.0%,sandwich chain,Food & Beverage,Florida,M,56
Charlotte Colket Weber,"$1,400","$1,700","$1,695",-$5,-0.3%,$295,21.1%,Campbell Soup,Food & Beverage,Florida,F,77
Elaine Wynn,"$2,100","$1,400","$1,684",$284,20.3%,-$416,-19.8%,"casinos, hotels",Gambling & Casinos,Nevada,F,78
Jorge Perez,"$2,600","$1,900","$1,673",-$227,-11.9%,-$927,-35.7%,real estate,Real Estate,Florida,M,70
Nicolas Berggruen,"$1,600","$1,500","$1,671",$171,11.4%,$71,4.4%,investments,Finance & Investments,California,M,59
David Lichtenstein,"$1,800","$1,700","$1,665",-$35,-2.1%,-$135,-7.5%,real estate,Real Estate,New York,M,58
Clifford Asness,"$3,100","$2,600","$1,661",-$939,-36.1%,"-$1,439",-46.4%,money management,Finance & Investments,Connecticut,M,53
Vincent McMahon,"$3,200","$1,800","$1,655",-$145,-8.1%,"-$1,545",-48.3%,entertainment,Sports,Connecticut,M,75
William Fisher,"$1,400",N/A,"$1,655",N/A,N/A,$255,18.2%,Gap,Fashion & Retail,California,M,63
W. Herbert Hunt,"$2,000","$1,400","$1,644",$244,17.5%,-$356,-17.8%,oil,Energy,Texas,M,91
Michael Xie,N/A,N/A,"$1,640",N/A,N/A,N/A,N/A,cybersecurity,Technology,California,M,51
Catherine Lozick,"$1,700","$1,600","$1,634",$34,2.1%,-$67,-3.9%,valve manufacturing,Manufacturing,Florida,F,75
T. Denny Sanford,"$2,600","$2,000","$1,633",-$367,-18.4%,-$967,-37.2%,"banking, credit cards",Finance & Investments,South Dakota,M,84
Mario Gabelli,"$1,700","$1,500","$1,630",$130,8.6%,-$70,-4.1%,money management,Finance & Investments,Connecticut,M,78
Michael Jordan,"$1,800","$2,100","$1,615",-$485,-23.1%,-$185,-10.3%,"Charlotte Hornets, endorsements",Sports,Florida,M,57
Peter Buck,"$1,600","$1,400","$1,613",$213,15.2%,$13,0.8%,Subway sandwich shops,Food & Beverage,Connecticut,M,89
Lee Bass,"$2,300","$1,800","$1,612",-$188,-10.4%,-$688,-29.9%,"oil, investments",Energy,Texas,M,64
Stephen Winn,"$1,500","$1,400","$1,606",$206,14.7%,$106,7.1%,real estate services,Real Estate,Texas,M,74
