,,,,,,,,,,,,
"U.S. BILLIONAIRES WEALTH GROWTH, OCTOBER 13, 2020",,,,,,,,,,,,
,,,,,,,,,,,,
First Name,"Net Worth Feb. 8, 2019 
 ($ Millions)","Net Worth Mar. 18, 2020                  ($ Millions)","October 13, 2020 Real Time Worth                            ($ Millions)","Wealth Growth from Mar. 18, 2020 to Oct. 13, 2020                             ($ Millions)","% Wealth Growth from Mar. 18, 2020 to Oct. 13, 2020           ","Wealth Growth from Feb. 8, 2019 to Oct. 13, 2020                        ($ Millions)","% Wealth Growth from Feb. 8, 2019 to Oct. 13, 2020",Source,Industry,State,Gender,Age
Brian Higgins,"$1,600","$1,600","$1,600",$0,0.0%,$0,0.0%,hedge funds,Finance & Investments,New York,M,55
O. Francis Biondi,"$1,600","$1,600","$1,600",$0,0.0%,$0,0.0%,hedge funds,Finance & Investments,New York,M,56
"B. Wayne Hughes, Jr.","$1,400","$1,300","$1,556",$256,19.7%,$156,11.2%,storage facilities,Real Estate,California,M,59
William Koch,"$1,800","$1,500","$1,549",$49,3.3%,-$251,-13.9%,"oil, investments",Energy,Florida,M,80
Frank Laukien,"$1,200","$1,300","$1,540",$240,18.5%,$340,28.4%,scientific equipment,Manufacturing,Massachusetts,M,60
Jerry Reinsdorf,"$1,600","$1,500","$1,538",$38,2.6%,-$62,-3.9%,sports teams,Sports,Illinois,M,84
Deng Hui,N/A,"$1,300","$1,533",$233,17.9%,N/A,N/A,software,Technology,,M,58
Robert Fisher,"$1,400",N/A,"$1,527",N/A,N/A,$127,9.1%,Gap,Fashion & Retail,California,M,67
Orion Hindawi,N/A,"$1,500","$1,526",$26,1.7%,N/A,N/A,software,Technology,California,M,40
Marc Andreessen,"$1,300","$1,200","$1,526",$326,27.2%,$226,17.4%,venture capital investing,Finance & Investments,California,M,49
Kenny Troutt,"$1,400","$1,500","$1,525",$25,1.7%,$125,8.9%,telecom,Telecom,Texas,M,72
Billy Joe (Red) McCombs,"$1,500","$1,400","$1,522",$122,8.7%,$22,1.4%,"real estate, oil, cars, sports",Diversified,Texas,M,92
Drew Houston,"$2,300","$1,300","$1,521",$221,17.0%,-$779,-33.9%,cloud storage service,Technology,California,M,37
"Richard Yuengling, Jr.","$1,200","$1,100","$1,508",$408,37.1%,$308,25.7%,beer,Food & Beverage,Pennsylvania,M,77
Keith Dunleavy,N/A,N/A,"$1,504",N/A,N/A,N/A,N/A,Healthcare,Healthcare,Maryland,M,
Peter Sperling,"$1,400","$1,500","$1,504",$4,0.3%,$104,7.4%,education,Service,Arizona,M,60
John Farber,"$1,800","$1,200","$1,503",$303,25.2%,-$297,-16.5%,chemicals,Manufacturing,New York,M,95
Louis Bacon,"$1,500","$1,500","$1,500",$0,0.0%,$0,0.0%,hedge funds,Finance & Investments,New York,M,64
Seth Klarman,"$1,500","$1,500","$1,500",$0,0.0%,$0,0.0%,investments,Finance & Investments,Massachusetts,M,63
Bill Gross,"$1,500","$1,500","$1,499",-$1,-0.1%,-$1,-0.1%,investments,Finance & Investments,California,M,76
George Joseph,"$1,600","$1,400","$1,494",$94,6.7%,-$106,-6.6%,insurance,Finance & Investments,California,M,99
"Herbert Allen, Jr.","$2,000","$1,400","$1,494",$94,6.7%,-$506,-25.3%,investment banking,Finance & Investments,New York,M,80
PJ Hyett,N/A,N/A,"$1,492",N/A,N/A,N/A,N/A,software,Technology,California,M,
James Leininger,"$1,400","$1,500","$1,479",-$21,-1.4%,$79,5.6%,medical products,Healthcare,Texas,M,75
Paul Foster,"$1,700","$1,400","$1,469",$69,4.9%,-$231,-13.6%,oil refining,Energy,Texas,M,62
Jonathan Tisch,"$1,400","$1,400","$1,467",$67,4.8%,$67,4.8%,"insurance, NFL team",Diversified,New York,M,66
Alan Gerry,"$1,400","$1,500","$1,461",-$39,-2.6%,$61,4.4%,cable television,Media & Entertainment,New York,M,91
Henry Engelhardt,"$1,200","$1,200","$1,459",$259,21.6%,$259,21.6%,insurance,Finance & Investments,,M,62
David Zalik,"$1,900","$1,400","$1,457",$57,4.1%,-$443,-23.3%,financial technology,Technology,Georgia,M,46
David Hindawi,N/A,"$1,400","$1,445",$45,3.2%,N/A,N/A,software,Technology,California,M,75
Maggie Hardy Knox,N/A,"$1,400","$1,445",$45,3.2%,N/A,N/A,building materials,Service,Pennsylvania,F,54
Felix Baker,N/A,"$1,400","$1,436",$36,2.6%,N/A,N/A,biotech investing,Finance & Investments,New York,M,51
Julian Baker,N/A,"$1,400","$1,436",$36,2.6%,N/A,N/A,investing,Finance & Investments,New York,M,54
Steve Case,"$1,300","$1,400","$1,424",$24,1.7%,$124,9.5%,AOL,Technology,Virginia,M,62
Ron Burkle,"$1,500","$1,400","$1,420",$20,1.5%,-$80,-5.3%,"supermarkets, investments",Finance & Investments,,M,67
John Bicket,N/A,"$1,400","$1,417",$17,1.2%,N/A,N/A,sensor systems,Technology,California,M,40
Sanjit Biswas,N/A,"$1,400","$1,417",$17,1.2%,N/A,N/A,sensor systems,Technology,California,M,38
Thomas Steyer,"$1,600","$1,600","$1,415",-$185,-11.6%,-$185,-11.6%,hedge funds,Finance & Investments,California,M,63
David Paul,"$1,200","$1,000","$1,413",$413,41.3%,$213,17.7%,medical devices,Healthcare,Pennsylvania,M,53
Mark Pincus,"$1,200","$1,200","$1,411",$211,17.6%,$211,17.6%,online games,Technology,California,M,54
Sue Gross,"$1,300","$1,400","$1,409",$9,0.6%,$109,8.4%,investments,Finance & Investments,California,F,70
"Julio Mario Santo Domingo, III.","$1,700","$1,000","$1,408",$408,40.8%,-$292,-17.2%,beer,Food & Beverage,New York,M,35
Kenneth Feld,"$2,400","$2,000","$1,407",-$593,-29.7%,-$993,-41.4%,live entertainment,Media & Entertainment,Florida,M,71
Scott Kapnick,N/A,"$1,400","$1,400",$0,0.0%,N/A,N/A,private equity,Finance & Investments,Florida,M,61
Philippe Laffont,"$1,400","$1,400","$1,400",$0,0.0%,$0,0.0%,hedge fund,Finance & Investments,New York,M,52
Leo Koguan,"$1,000","$1,400","$1,400",$0,0.0%,$400,40.0%,IT provider,Technology,Texas,M,65
Jim Thompson,"$1,600","$1,200","$1,398",$198,16.5%,-$202,-12.6%,logistics,Logistics,,M,80
George Yancopoulos,"$1,200","$1,100","$1,394",$294,26.7%,$194,16.2%,pharmaceuticals,Healthcare,New York,M,61
Bharat Desai,"$1,400","$1,400","$1,392",-$8,-0.6%,-$8,-0.6%,IT consulting,Technology,Florida,M,67
Martin Selig,"$1,500","$1,600","$1,390",-$210,-13.1%,-$110,-7.3%,real estate,Real Estate,Washington,M,82
Theodore Leonsis,"$1,100","$1,400","$1,383",-$17,-1.2%,$283,25.8%,sports teams,Sports,Maryland,M,64
Duncan MacMillan,"$1,100","$1,300","$1,383",$83,6.4%,$283,25.8%,Bloomberg LP,Finance & Investments,New Jersey,M,82
Jerry Moyes,"$1,200","$1,200","$1,375",$175,14.6%,$175,14.6%,transportation,Logistics,Arizona,M,76
James Duff,"$1,200","$1,400","$1,363",-$37,-2.6%,$163,13.6%,"tires, diversified",Diversified,Mississippi,M,59
Thomas Duff,"$1,200","$1,400","$1,363",-$37,-2.6%,$163,13.6%,"tires, diversified",Diversified,Mississippi,M,63
Jamie Dimon,"$1,300","$1,200","$1,361",$161,13.4%,$61,4.7%,banking,Finance & Investments,New York,M,64
Timothy Headington,"$1,500","$1,200","$1,351",$151,12.5%,-$149,-10.0%,"oil & gas, investments",Energy,Texas,M,70
Sidney Kimmel,"$1,300","$1,300","$1,348",$48,3.7%,$48,3.7%,retail,Fashion & Retail,New York,M,92
Jim Crane,N/A,"$1,300","$1,346",$46,3.5%,N/A,N/A,"logistics, baseball",Sports,Texas,M,66
Gary Magness,"$1,300","$1,100","$1,342",$242,22.0%,$42,3.2%,"cable TV, investments",Media & Entertainment,Colorado,M,66
Fayez Sarofim,"$1,400","$1,100","$1,341",$241,21.9%,-$59,-4.2%,money management,Finance & Investments,Texas,M,91
Kevin Plank,"$1,900","$1,100","$1,332",$232,21.1%,-$568,-29.9%,Under Armour,Fashion & Retail,Maryland,M,48
Alexandra Daitch,"$1,900","$1,300","$1,326",$26,2.0%,-$574,-30.2%,Cargill,Food & Beverage,Connecticut,F,57
Lucy Stitzer,"$1,900","$1,300","$1,326",$26,2.0%,-$574,-30.2%,Cargill,Food & Beverage,Connecticut,F,60
Sarah MacMillan,"$1,900","$1,300","$1,326",$26,2.0%,-$574,-30.2%,Cargill,Food & Beverage,California,F,66
Joe Rogers Jr,N/A,N/A,"$1,300",N/A,N/A,N/A,N/A,Waffle House,Food & Beverage,,M,
Kanye West,N/A,N/A,"$1,300",N/A,c,N/A,N/A,"music, sneakers",,California,M,43
Chuck Bundrant,"$2,400","$1,600","$1,300",-$300,-18.8%,"-$1,100",-45.8%,fishing,Food & Beverage,Washington,M,78
Ryan Smith,N/A,"$1,300","$1,300",$0,0.0%,N/A,N/A,cloud computing,Technology,Utah,M,42
Boris Jordan,N/A,N/A,"$1,294",N/A,N/A,N/A,N/A,,,New York,,54
Alexander Rovt,"$1,300","$1,300","$1,292",-$8,-0.6%,-$8,-0.6%,"fertilizer, real estate",Manufacturing,New York,M,68
Tor Peterson,"$1,700","$1,100","$1,282",$182,16.6%,-$418,-24.6%,commodities,Metals & Mining,,M,56
Darwin Deason,"$1,300","$1,300","$1,268",-$32,-2.5%,-$32,-2.5%,Xerox,Service,Texas,M,80
Edward Lampert,"$1,000",N/A,"$1,264",N/A,N/A,$264,26.4%,Sears,Finance & Investments,Florida,M,58
George Marcus,"$1,400","$1,200","$1,259",$59,4.9%,-$141,-10.1%,real estate,Real Estate,California,M,79
Michael Krasny,"$1,400","$1,300","$1,254",-$46,-3.6%,-$146,-10.5%,retail,Technology,Illinois,M,67
Timothy Springer,N/A,N/A,"$1,238",N/A,N/A,N/A,N/A,biotech,Healthcare,Massachusetts,M,72
Farris Wilks,"$1,400","$1,200","$1,231",$31,2.6%,-$169,-12.1%,natural gas,Energy,Texas,M,68
Joseph Edelman,"$1,200","$1,200","$1,230",$30,2.5%,$30,2.5%,hedge funds,Finance & Investments,New York,M,65
Yvon Chouinard,"$1,500","$1,200","$1,226",$26,2.2%,-$274,-18.3%,Patagonia,Fashion & Retail,California,M,81
Donald Foss,"$1,300","$1,100","$1,216",$116,10.6%,-$84,-6.4%,auto loans,Automotive,Michigan,M,76
Thomas Tull,"$1,200","$1,200","$1,216",$16,1.3%,$16,1.3%,"movies, investments",Media & Entertainment,California,M,50
Frederic Luddy,"$1,100","$1,100","$1,213",$113,10.2%,$113,10.2%,software,Technology,California,M,65
Jayshree Ullal,"$1,200","$1,000","$1,212",$212,21.2%,$12,1.0%,computer networking,Technology,California,F,59
Gary Lauder,N/A,N/A,"$1,209",N/A,N/A,N/A,N/A,Estée Lauder,Fashion & Retail,California,M,58
Jared Smith,N/A,"$1,200","$1,205",$5,0.4%,N/A,N/A,cloud computing,Technology,Utah,M,45
"Jim Justice, II.","$1,500","$1,200","$1,204",$4,0.4%,-$296,-19.7%,coal,Metals & Mining,West Virginia,M,69
Safra Catz,"$1,000",N/A,"$1,202",N/A,N/A,$202,20.2%,software,Technology,California,F,58
Eren Ozmen,"$1,200","$1,400","$1,200",-$200,-14.3%,$0,0.0%,aerospace,Manufacturing,Nevada,F,62
Greg Mondre,N/A,"$1,200","$1,200",$0,0.0%,N/A,N/A,private equity,Finance & Investments,New York,M,46
Kenneth Hao,N/A,"$1,200","$1,200",$0,0.0%,N/A,N/A,private equity,Finance & Investments,California,M,52
Lawrence Golub,N/A,"$1,200","$1,200",$0,0.0%,N/A,N/A,private equity,Finance & Investments,New York,M,60
Mike Bingle,N/A,"$1,200","$1,200",$0,0.0%,N/A,N/A,private equity,Finance & Investments,Connecticut,M,48
Wilma Tisch,"$1,400","$1,200","$1,200",$0,0.0%,-$200,-14.3%,diversified,Finance & Investments,New York,F,93
Robert Friedland,"$1,000",N/A,"$1,194",N/A,N/A,$194,19.4%,mining,Metals & Mining,,M,70
J. Christopher Flowers,"$1,200","$1,200","$1,193",-$7,-0.6%,-$7,-0.6%,investments,Finance & Investments,New York,M,62
Joe Lacob,N/A,"$1,200","$1,190",-$11,-0.9%,N/A,N/A,Golden State Warriors,Sports,California,M,64
Edward Stack,N/A,N/A,"$1,171",N/A,N/A,N/A,N/A,Dick's Sporting Goods,Fashion & Retail,Pennsylvania,M,65
Thomas Bailey,"$1,200","$1,200","$1,166",-$34,-2.8%,-$34,-2.8%,money management,Finance & Investments,Colorado,M,83
Michael Price,"$1,100","$1,100","$1,164",$64,5.8%,$64,5.8%,investments,Finance & Investments,New Jersey,M,68
Daniel Lubetzky,"$1,500","$1,200","$1,160",-$40,-3.3%,-$340,-22.7%,snack bars,Food & Beverage,New York,M,51
Fatih Ozmen,"$1,200","$1,400","$1,150",-$250,-17.9%,-$50,-4.2%,aerospace,Manufacturing,Nevada,M,62
Thomas James,"$1,200","$1,100","$1,147",$47,4.3%,-$53,-4.4%,finance,Finance & Investments,Florida,M,78
John Martin,"$1,200","$1,300","$1,144",-$156,-12.0%,-$56,-4.6%,pharmaceuticals,Healthcare,California,M,69
Paul Fireman,"$1,100","$1,100","$1,141",$41,3.7%,$41,3.7%,Reebok,Fashion & Retail,Massachusetts,M,76
Norma Lerner,"$1,100","$1,100","$1,133",$33,3.0%,$33,3.0%,banking,Finance & Investments,Ohio,F,84
Alexander Karp,"$1,300","$1,300","$1,128",-$172,-13.3%,-$172,-13.3%,software firm,Technology,California,M,52
Michael Steinhardt,"$1,100","$1,100","$1,127",$27,2.5%,$27,2.5%,hedge funds,Finance & Investments,New York,M,79
Nancy Lerner,"$1,100","$1,100","$1,123",$23,2.1%,$23,2.1%,"banking, credit cards",Finance & Investments,Ohio,F,60
Randolph Lerner,"$1,100","$1,100","$1,122",$22,2.0%,$22,2.0%,"banking, credit cards",Finance & Investments,Ohio,M,58
Richard Kayne,"$1,100","$1,100","$1,116",$16,1.4%,$16,1.4%,investments,Finance & Investments,California,M,74
Chris Sacca,"$1,100",N/A,"$1,103",N/A,N/A,$3,0.2%,venture capital investing,Finance & Investments,California,M,45
Donald Friese,"$1,200","$1,100","$1,100",$0,0.0%,-$100,-8.3%,manufacturing,Manufacturing,California,M,79
David Golub,N/A,"$1,100","$1,100",$0,0.0%,N/A,N/A,private equity,Finance & Investments,New York,M,58
Forrest Preston,"$1,500","$1,200","$1,095",-$105,-8.8%,-$405,-27.0%,health care,Healthcare,Tennessee,M,87
Dean Stoecker,N/A,N/A,"$1,090",N/A,N/A,N/A,N/A,software,Technology,California,M,63
Duke Reyes,N/A,"$1,500","$1,088",-$412,-27.5%,N/A,N/A,beer distribution,Food & Beverage,Florida,M,63
Dan Wilks,"$1,400","$1,100","$1,074",-$26,-2.3%,-$326,-23.3%,natural gas,Energy,Texas,M,64
Susan Williams,N/A,N/A,"$1,070",N/A,N/A,N/A,N/A,industrial supplies,Manufacturing,Missouri,F,
Jonathan Oringer,N/A,N/A,"$1,062",N/A,N/A,N/A,N/A,stock photos,Technology,New York,M,46
Henry Davis,"$1,300","$1,100","$1,055",-$45,-4.1%,-$245,-18.8%,beef processing,Food & Beverage,Nebraska,M,69
Richard Hayne,"$1,200",N/A,"$1,052",N/A,N/A,-$148,-12.3%,Urban Outfitters,Fashion & Retail,Pennsylvania,M,73
Robert Toll,N/A,N/A,"$1,052",N/A,N/A,N/A,N/A,home building,Real Estate,Florida,M,79
Laurie Tisch,N/A,"$1,000","$1,043",$43,4.3%,N/A,N/A,"insurance, NFL team",Diversified,New York,F,69
Steven Tisch,N/A,"$1,000","$1,042",$42,4.2%,N/A,N/A,insurance,Diversified,California,M,71
Jay-Z,N/A,"$1,000","$1,042",$42,4.2%,N/A,N/A,diversified,Media & Entertainment,New York,M,50
Craig Newmark,"$1,600","$1,300","$1,042",-$258,-19.9%,-$558,-34.9%,Craigslist,Technology,California,M,67
Brian Armstrong,"$1,300","$1,000","$1,040",$40,4.0%,-$260,-20.0%,cryptocurrency,Finance & Investments,California,M,37
Lowell Milken,"$1,000","$1,000","$1,039",$39,3.9%,$39,3.9%,investments,Finance & Investments,California,M,71
Wesley Edens,N/A,"$1,000","$1,036",$36,3.6%,N/A,N/A,investments,Finance & Investments,New York,M,58
Jeffrey Lorberbaum,"$1,500",N/A,"$1,033",N/A,N/A,N/A,N/A,Flooring,Manufacturing,Tennessee,M,65
Sandy Weill,"$1,000","$1,000","$1,028",$28,2.8%,$28,2.8%,Citigroup,Finance & Investments,California,M,87
John Goff,"$1,000",N/A,"$1,024",N/A,N/A,$24,2.4%,real estate,Real Estate,Texas,M,65
Neerja Sethi,N/A,"$1,000","$1,020",$20,2.0%,N/A,N/A,"IT consulting, outsourcing",Technology,Florida,F,65
Scott Smith,N/A,"$1,000","$1,003",$3,0.3%,N/A,N/A,cloud computing,Technology,Utah,M,71
Tyler Perry,N/A,N/A,"$1,001",N/A,N/A,N/A,N/A,"movies, television",Media & Entertainment,Georgia,M,51
Wilbur  'Ed' Bosarge Jr,N/A,N/A,"$1,000",N/A,N/A,N/A,N/A,high speed trading,Finance & Investments,Texas,M,81
Bom Kim,N/A,"$1,000","$1,000",$0,0.0%,N/A,N/A,online retailing,Technology,,M,41
Carl Thoma,N/A,"$1,000","$1,000",$0,0.0%,N/A,N/A,investments,Finance & Investments,Illinois,M,71
RJ Scaringe,N/A,"$1,000","$1,000",$0,0.0%,N/A,N/A,electric vehicles,Automotive,California,M,36
David Hall,"$1,000","$1,000","$1,000",$0,0.0%,$0,0.0%,automotive technology,Automotive,California,M,69
David Kabiller,"$1,000","$1,000","$1,000",$0,0.0%,$0,0.0%,investment management,Finance & Investments,Connecticut,M,57
John Liew,"$1,000","$1,000","$1,000",$0,0.0%,$0,0.0%,investment management,Finance & Investments,Connecticut,M,53
Randall Rollins,"$4,100","$3,500",N/A,N/A,N/A,N/A,N/A,pest control,Service,Georgia,M,88
Sumner Redstone,"$4,600","$2,600",N/A,N/A,N/A,N/A,N/A,Media,Media & Entertainment,California,M,97
J. Joe Ricketts,"$2,800","$1,900",N/A,N/A,N/A,N/A,N/A,TD Ameritrade,Finance & Investments,Wyoming,M,79
Manuel Moroun,"$1,800","$1,500",N/A,N/A,N/A,N/A,N/A,Transportation,Logistics,,M,
Kathy Fields,"$1,500","$1,400",N/A,N/A,N/A,N/A,N/A,skin care,Fashion & Retail,California,F,62
Katie Rodan,"$1,500","$1,400",N/A,N/A,N/A,N/A,N/A,skin care,Fashion & Retail,California,F,65
GT Dave,N/A,"$1,000",N/A,N/A,N/A,N/A,N/A,kombucha,Food & Beverage,California,M,43
Linden Blue,N/A,"$1,000",N/A,N/A,N/A,N/A,N/A,defense,Manufacturing,California,M,84
Edmund Ansin,"$1,400","$1,000",N/A,N/A,N/A,N/A,N/A,Television,Media & Entertainment,Florida,M,84
Axel Stawski,"$1,000","$1,000",N/A,N/A,N/A,N/A,N/A,Real Estate,Real Estate,New York,M,69
Kylie Jenner,"$1,000","$1,000",N/A,N/A,N/A,N/A,N/A,Cosmetics,Fashion & Retail,California,F,22
Whitney MacMillan,"$5,600",N/A,N/A,N/A,N/A,N/A,N/A,Cargill,Food & Beverage,Minnesota,M,90
Do Won & Jin Sook Chang,"$3,000",N/A,N/A,N/A,N/A,N/A,N/A,Fashion Retail,Fashion & Retail,California,,
Miguel McKelvey,"$2,900",N/A,N/A,N/A,N/A,N/A,N/A,WeWork,Real Estate,New York,M,46
Katherine Tanner,"$1,900",N/A,N/A,N/A,N/A,N/A,N/A,Cargill,Food & Beverage,,F,
Christopher Cline,"$1,800",N/A,N/A,N/A,N/A,N/A,N/A,Coal,Metals & Mining,West Virginia,M,60
Ryan Graves,"$1,600",N/A,N/A,N/A,N/A,N/A,N/A,uber,Technology,Hawaii,M,37
John Edson,"$1,400",N/A,N/A,N/A,N/A,N/A,N/A,Leisure Craft,Manufacturing,Wyoming,M,88
Martha Ford,"$1,400",N/A,N/A,N/A,N/A,N/A,N/A,Ford Motor,Automotive,Michigan,F,94
Anne Gittinger,"$1,300",N/A,N/A,N/A,N/A,N/A,N/A,Nordstrom Department Stores,Fashion & Retail,Washington,F,84
"Cargill MacMillan, III","$1,300",N/A,N/A,N/A,N/A,N/A,N/A,Cargill,Food & Beverage,Colorado,M,60
John MacMillan,"$1,300",N/A,N/A,N/A,N/A,N/A,N/A,Cargill,Food & Beverage,Minnesota,M,70
Martha MacMillan,"$1,300",N/A,N/A,N/A,N/A,N/A,N/A,Cargill,Food & Beverage,Minnesota,F,66
Mitchell Jacobson,"$1,300",N/A,N/A,N/A,N/A,N/A,N/A,Industrial Equipment,Service,New York,M,69
William MacMillan,"$1,300",N/A,N/A,N/A,N/A,N/A,N/A,Cargill,Food & Beverage,Colorado,M,66
Bruce Nordstrom,"$1,200",N/A,N/A,N/A,N/A,N/A,N/A,Nordstrom Department Stores,Fashion & Retail,Washington,M,86
Irwin Jacobs,"$1,200",N/A,N/A,N/A,N/A,N/A,N/A,Semiconductors,Technology,California,M,86
Adam Bowen,"$1,100",N/A,N/A,N/A,N/A,N/A,N/A,e-cigarettes,Manufacturing,California,M,44
James Monsees,"$1,100",N/A,N/A,N/A,N/A,N/A,N/A,e-cigarettes,Manufacturing,California,M,40
Sara Blakely,"$1,100",N/A,N/A,N/A,N/A,N/A,N/A,Spanx,Fashion & Retail,Georgia,F,49
Steven Roth,"$1,100",N/A,N/A,N/A,N/A,N/A,N/A,Real Estate,Real Estate,New York,M,78
William Macaulay,"$1,100",N/A,N/A,N/A,N/A,N/A,N/A,Energy Investments,Energy,Connecticut,M,74
Anastasia Soare,"$1,000",N/A,N/A,N/A,N/A,N/A,N/A,Cosmetics,Fashion & Retail,California,F,62
Carolyn Rafaelian,"$1,000",N/A,N/A,N/A,N/A,N/A,N/A,Jewelry,Fashion & Retail,Rhode Island,F,53
Evan Sharp,"$1,000",N/A,N/A,N/A,N/A,N/A,N/A,Pinterest,Technology,California,M,37
James Truchard,"$1,000",N/A,N/A,N/A,N/A,N/A,N/A,Software,Technology,Texas,M,77
Mimi Haas,"$1,000",N/A,N/A,N/A,N/A,N/A,N/A,Levi's Jeans,Fashion & Retail,California,F,74
,,,,,,,,,,,,
Sources:,,,,,,,,,,,,
"February 8, 2019 data: Forbes 2019 World Billionaires Report, March 5, 2019",,,,,,,,,,,,
"March 18, 2020 data: Forbes, ""Forbes Publishes 34th Annual List Of Global Billionaires"" April 7, 2020",,,,,,,,,,,,
"Oct. 13, 2020 data: Forbes, ""The World's Real-Time Billionaires, Today's Winners and Losers,"" accessed Oct. 13, 2020",,,,,,,,,,,,
